SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Multi-Family (5+ Unit),1256 S Westgate Ave,Los Angeles,CA,90025,3200000,13,11.0,West L.A.,7391,7204,1960,1,433,,Active,,,https://www.redfin.com/CA/Los-Angeles/1256-S-Westgate-Ave-90025/home/6758947,TheMLS,25-487089,N,Y,34.0461288,-118.4619882
MLS Listing,,Condo/Co-op,1840 Camden Ave #101,Los Angeles,CA,90025,599999,1,1.0,Westwood - Century City,764,13246,1972,1,785,500,Active,,,https://www.redfin.com/CA/Los-Angeles/1840-Camden-Ave-90025/unit-101/home/6801442,TheMLS,25-486379,N,Y,34.0461998,-118.4401547
MLS Listing,,Single Family Residential,2117 Colby Ave,West Los Angeles,CA,90025,1666300,2,1.0,WLA - West Los Angeles,1028,6693,1924,2,1621,,Pre On-Market,,,https://www.redfin.com/CA/Los-Angeles/2117-Colby-Ave-90025/home/6756611,CRMLS,CV25011704,N,Y,34.0367952,-118.445992
MLS Listing,,Multi-Family (2-4 Unit),1410 Federal Ave,Los Angeles,CA,90025,1699000,3,2.5,WLA - West Los Angeles,2082,3342,1961,4,816,,Active,,,https://www.redfin.com/CA/Los-Angeles/1410-Federal-Ave-90025/home/6759343,CRMLS,SR25012801,N,Y,34.0471391,-118.4557873
MLS Listing,,Condo/Co-op,11635 Missouri Ave #3,Los Angeles,CA,90025,1498000,3,2.5,West L.A.,2069,15513,1989,4,724,450,Active,,,https://www.redfin.com/CA/Los-Angeles/11635-Missouri-Ave-90025/unit-3/home/6758389,TheMLS,25-484707,N,Y,34.0394672,-118.4504844
MLS Listing,,Single Family Residential,2145 Benecia Ave,Los Angeles,CA,90025,1995000,3,2.0,Westwood - Century City,1536,6503,1929,4,1299,,Active,,,https://www.redfin.com/CA/Los-Angeles/2145-Benecia-Ave-90025/home/6798298,TheMLS,25-483545,N,Y,34.0513701,-118.4204422
MLS Listing,,Condo/Co-op,1639 Camden Ave #301,Los Angeles,CA,90025,975000,2,2.0,C05 - Westwood - Century City,1020,6951,1988,4,956,500,Active,,,https://www.redfin.com/CA/Los-Angeles/1639-Camden-Ave-90025/unit-301/home/21913900,CRMLS,SR25012292,N,Y,34.0490924,-118.443212
MLS Listing,,Multi-Family (5+ Unit),1906 Pelham Ave,Los Angeles,CA,90025,5250000,24,20.0,Westwood - Century City,13448,14195,1964,4,390,,Active,,,https://www.redfin.com/CA/Los-Angeles/1906-Pelham-Ave-90025/home/6799703,TheMLS,25-484851,N,Y,34.050774,-118.4305249
MLS Listing,,Townhouse,11672 Nebraska Ave,Los Angeles,CA,90025,1498000,3,2.5,WLA - West Los Angeles,2281,6093,1989,4,657,583,Active,,,https://www.redfin.com/CA/Los-Angeles/11672-Nebraska-Ave-90025/home/6758446,CRMLS,P1-20493,N,Y,34.0400287,-118.4524097
MLS Listing,,Condo/Co-op,2019 S Bentley Ave #3,Los Angeles,CA,90025,995000,2,3.0,Westwood - Century City,1163,12347,1973,4,856,550,Active,January-26-2025 01:00 PM,January-26-2025 04:00 PM,https://www.redfin.com/CA/Los-Angeles/2019-S-Bentley-Ave-90025/unit-3/home/6801696,TheMLS,25-482729,N,Y,34.0429097,-118.4393821
MLS Listing,,Condo/Co-op,2008 S Bentley Ave #1,Los Angeles,CA,90025,737000,2,2.0,Westwood - Century City,1200,6172,1981,5,614,1000,Active,,,https://www.redfin.com/CA/Los-Angeles/2008-S-Bentley-Ave-90025/unit-1/home/6801724,TheMLS,24-470091,N,Y,34.0434139,-118.4390026
MLS Listing,,Condo/Co-op,12124 Goshen Ave #203,Los Angeles,CA,90049,1495000,2,3.0,Brentwood,1746,21053,1974,5,856,725,Active,January-26-2025 01:00 PM,January-26-2025 04:00 PM,https://www.redfin.com/CA/Los-Angeles/12124-Goshen-Ave-90049/unit-203/home/6760775,TheMLS,25-482715,N,Y,34.0444815,-118.4691356
MLS Listing,,Condo/Co-op,1530 Camden Ave #105,Los Angeles,CA,90025,1545000,2,3.0,Westwood - Century City,1960,20268,2006,7,788,850,Active,,,https://www.redfin.com/CA/Los-Angeles/1530-Camden-Ave-90025/unit-105/home/12283699,TheMLS,25-481497,N,Y,34.0507411,-118.4440233
MLS Listing,,Single Family Residential,1917 Veteran Ave,Los Angeles,CA,90025,2595000,4,3.0,Westwood - Century City,2426,6738,2002,8,1070,,Active,,,https://www.redfin.com/CA/Los-Angeles/1917-Veteran-Ave-90025/home/6801277,TheMLS,25-481885,N,Y,34.0459933,-118.4379741
MLS Listing,,Townhouse,1729 S Barrington Ave #3,Los Angeles,CA,90025,1960000,3,3.5,West L.A.,2017,6054,2024,8,972,542,Active,,,https://www.redfin.com/CA/Los-Angeles/1729-S-Barrington-Ave-90025/unit-3/home/187796282,TheMLS,25-481903,N,Y,34.0406089,-118.4536804
MLS Listing,,Townhouse,1729 S Barrington Ave #4,Los Angeles,CA,90025,1997000,3,3.5,West L.A.,2043,6054,2024,8,977,542,Active,,,https://www.redfin.com/CA/Los-Angeles/1729-S-Barrington-Ave-90025/unit-4/home/187796289,TheMLS,25-481883,N,Y,34.0406089,-118.4536804
MLS Listing,,Condo/Co-op,1844 S Bundy Dr #7,Los Angeles,CA,90025,749000,2,2.0,West L.A.,1067,6090,1979,8,702,330,Active,January-26-2025 01:00 PM,January-26-2025 04:00 PM,https://www.redfin.com/CA/Los-Angeles/1844-S-Bundy-Dr-90025/unit-7/home/6756339,TheMLS,24-474203,N,Y,34.035844,-118.457318
