SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3751 Edgehill Dr,Los Angeles,CA,90018,790000,2,1.0,Park Hills Heights,1274,5904,1940,1,620,,Active,November-14-2024 11:00 AM,November-14-2024 02:00 PM,https://www.redfin.com/CA/Los-Angeles/3751-Edgehill-Dr-90018/home/6880792,TheMLS,24-456917,N,Y,34.0185523,-118.3312235
MLS Listing,,Single Family Residential,2410 8th Ave,Los Angeles,CA,90018,1050000,5,2.5,Mid Los Angeles,2531,9745,1910,2,415,,Active,November-12-2024 11:00 AM,November-12-2024 02:00 PM,https://www.redfin.com/CA/Los-Angeles/2410-8th-Ave-90018/home/6898379,TheMLS,24-461659,N,Y,34.0350867,-118.3256737
MLS Listing,,Single Family Residential,3680 5th Ave,Los Angeles,CA,90018,760000,3,1.0,C42 - Downtown L.A.,1140,5002,1912,3,667,,Active,November-15-2024 11:00 AM,November-15-2024 04:00 PM,https://www.redfin.com/CA/Los-Angeles/3680-5th-Ave-90018/home/6888456,CRMLS,RS24229767,N,Y,34.0205811,-118.3221615
MLS Listing,,Single Family Residential,2115 4th Ave,Los Angeles,CA,90018,1350000,5,2.5,C16 - Mid Los Angeles,2800,10508,1914,3,482,,Active,,,https://www.redfin.com/CA/Los-Angeles/2115-4th-Ave-90018/home/6898914,CRMLS,SR24230068,N,Y,34.0375404,-118.3216521
MLS Listing,,Single Family Residential,2420 8th Ave,Los Angeles,CA,90018,1490000,3,2.0,106 - Los Angeles,1744,7308,1922,4,854,,Active,November-10-2024 01:00 PM,November-10-2024 04:00 PM,https://www.redfin.com/CA/Los-Angeles/2420-8th-Ave-90018/home/6898377,CRMLS,PTP2406816,N,Y,34.0347848,-118.3257296
MLS Listing,,Multi-Family (2-4 Unit),2023 W 28th St,Los Angeles,CA,90018,1100000,4,4.0,Mid Los Angeles,3596,6821,1926,5,306,,Active,,,https://www.redfin.com/CA/Los-Angeles/2023-W-28th-St-90018/home/6894366,TheMLS,24-460459,N,Y,34.030219,-118.309728
MLS Listing,,Single Family Residential,3511 S Norton Ave,Los Angeles,CA,90018,1200000,4,2.0,C16 - Mid Los Angeles,1296,5304,1929,5,926,,Active,,,https://www.redfin.com/CA/Los-Angeles/3511-S-Norton-Ave-90018/home/6887823,CRMLS,CV24226326,N,Y,34.0243794,-118.3329908
MLS Listing,,Single Family Residential,2057 S Oxford Ave,Los Angeles,CA,90018,1420000,6,3.0,Mid Los Angeles,3308,8558,1903,8,429,,Active,,,https://www.redfin.com/CA/Los-Angeles/2057-S-Oxford-Ave-90018/home/6907873,TheMLS,24-459153,N,Y,34.0382412,-118.3081962
MLS Listing,,Single Family Residential,2330 W 30th St,Los Angeles,CA,90018,1425000,4,3.0,Mid Los Angeles,1893,5255,1910,9,753,,Active,,,https://www.redfin.com/CA/Los-Angeles/2330-W-30th-St-90018/home/6893687,TheMLS,24-456563,N,Y,34.0271701,-118.3186409
