SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,2142 Century Park Ln #210,Los Angeles,CA,90067,1399000,3,3.0,Westwood - Century City,2105,589458,1989,1,665,1633,Active,,,https://www.redfin.com/CA/Los-Angeles/2142-Century-Park-Ln-90067/unit-210/home/6809977,TheMLS,24-460253,N,Y,34.056637,-118.4117591
MLS Listing,,Condo/Co-op,10120 Empyrean Way #102,Los Angeles,CA,90067,2450000,2,2.5,Westwood - Century City,2306,464577,1979,2,1062,2653,Active,,,https://www.redfin.com/CA/Los-Angeles/10120-Empyrean-Way-90067/unit-102/home/6809276,TheMLS,24-461933,N,Y,34.053242,-118.40811
MLS Listing,,Condo/Co-op,2310 Century Hl,Los Angeles,CA,90067,1545000,2,3.0,Westwood - Century City,2357,787596,1980,6,655,2678,Active,,,https://www.redfin.com/CA/Los-Angeles/2310-Century-Hl-90067/home/6809408,TheMLS,24-458913,N,Y,34.0549415,-118.4099511
MLS Listing,,Condo/Co-op,2112 Century Park Ln #113,Los Angeles,CA,90067,1249000,2,2.0,Westwood - Century City,1390,589458,1985,10,899,1272,Active,,,https://www.redfin.com/CA/Los-Angeles/2112-Century-Park-Ln-90067/unit-113/home/6809675,TheMLS,24-457949,N,Y,34.0563091,-118.4124699
MLS Listing,,Condo/Co-op,2234 Century Hl,Los Angeles,CA,90067,1749999,2,3.0,Westwood - Century City,2372,787596,1980,17,738,2711,Active,,,https://www.redfin.com/CA/Los-Angeles/2234-Century-Hl-90067/home/6809375,TheMLS,24-419019,N,Y,34.0549415,-118.4099511
MLS Listing,,Condo/Co-op,10128 Empyrean Way #102,Los Angeles,CA,90067,3295000,2,3.5,Westwood - Century City,2498,464577,1979,18,1319,2784,Active,,,https://www.redfin.com/CA/Los-Angeles/10128-Empyrean-Way-90067/unit-102/home/6809132,TheMLS,24-454959,N,Y,34.053242,-118.40811
MLS Listing,,Condo/Co-op,1 W Century Dr Unit TH A,Los Angeles,CA,90067,13380000,4,5.5,Westwood - Century City,6020,161429,2010,19,2223,5824,Active,,,https://www.redfin.com/CA/Los-Angeles/1-W-Century-Dr-90067/unit-THA/home/52845483,TheMLS,24-455617,N,Y,34.056356,-118.4146435
MLS Listing,,Condo/Co-op,2131 Century Park Ln #101,Los Angeles,CA,90067,1299000,2,2.0,Westwood - Century City,1370,589458,1986,28,948,1265,Active,,,https://www.redfin.com/CA/Los-Angeles/2131-Century-Park-Ln-90067/unit-101/home/6809735,TheMLS,24-450991,N,Y,34.0566778,-118.4118086
MLS Listing,,Townhouse,2429 Century Hl,Los Angeles,CA,90067,1995000,3,3.5,Westwood - Century City,2790,787596,1980,32,715,3142,Active,,,https://www.redfin.com/CA/Los-Angeles/2429-Century-Hl-90067/home/6809572,TheMLS,24-450771,N,Y,34.0549415,-118.4099511
